name,screen_name,location,followers_count,friends_count,tweet
Débora Cintra,DeboraCintra1,"Mato Grosso, Brasil",1,40,"@_Ale_Mello @AnselmoRafa26 @JoanilsonM @pauloteixeira13 @jairbolsonaro Sim, a culpa é do PT, onde vcs estavam enqua… https://t.co/BpUHeAzsKC"
Gabi,gmedeirox,"Duque de Caxias, Rj",621,517,"@marcelegiolito Amiga, acredito eu que ainda vivemos num país democrático, onde podemos lutar contra os erros do go… https://t.co/HdXnMragL1"
gabi 7/27,ktulauren,Nárnia ,446,400,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Carol ➰,rroba04,fundo do poço,127,139,"RT @dougraz: foda ver o governo do nosso país diminuindo a gente
 foda"
Fernanda Carvalho,fernandacarrv,Brasil,389,276,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
���.,milasnbhd,hogwarts.,1366,382,"@ittakestw achei doentio também, total ódio pelo governo..."
Etina Rauber,EtinaRauber,,6,5,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
prettyboi super sayajin verde,supersayangreen,,29,53,"RT @MarinaSilva: O desmatamento da Amazônia cresceu 54% no 1º mês do governo Bolsonaro, em comparação com janeiro de 2018. Os ataques do at…"
Bruno T Silva,BrunoTSilva_90,"São Paulo, Brasil",335,885,"#BolsonaroOrgulhodoBrasil #BolsonaroOrgulhaOBrasil 
Finalmente patriotas estão no comando do governo,  n pessoas c… https://t.co/nXQNb6zrmH"
biribinha �,BiribaJulia,minha casa,47,162,"RT @dougraz: foda ver o governo do nosso país diminuindo a gente
 foda"
Henrique,Henri00que,,160,341,"RT @larissah_limap: Em outros estados os agentes já estao pagando, de formas crueis, pelo descaso do estado...que o RS não siga pra esse fi…"
Professora de la escuela de papel!,profa_analucia,"Rio de Janeiro, Brasil",2362,3439,"RT @PedroDNogueira4: Precisamos brecar esse homem e seus asseclas. Estão nos escandalizando. Já fomos chamados por um presidente Sírio de ""…"
