name,screen_name,location,followers_count,friends_count,tweet
charlie lulalivre,o_singular,Berlim Oriental,894,825,"RT @LulaOficial: O crime de Moro foi claro, não foi indeterminado, não foi uma história sem pé nem cabeça de apartamento. Foi contra a demo…"
c,mardybgg,enaltecendo george harrison,4156,2596,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
Al Caravan,alcaravan0870,,127,470,"RT @jairbolsonaro: Nos hospedaremos na Blair House. É uma honraria concedida a pouquíssimos Chefes de Estado, além de não custar um centavo…"
Kiara,KiaraKarla_Kika,"Esperantina, Brasil",15,24,"RT @delucca: Quando o SILAS MALAFAIA e o RODRIGO MAIA precisam sair do esgoto onde vivem com lixo tóxico intolerante, porque ficaram indign…"
Lara Luz,LaraLuz16,,2,103,"RT @50ChicoAlencar: A confusão viajou! Bolsonaro nos EUA:  Olavo ""Baixo Calão"" ataca governo de ""olavistas"", Jair quer ver Bannon, que seu…"
Assaz Hilariante,Olimpio7Pereira,Diadema,1539,1481,"RT @maryritalopes: Toda mentira ou omissåo da grobo sobre o governo será respondida por nós. 
Objetivo da grobo _ boicotar,  criminalizar e…"
Predo ᶜʳᶠ,P_Mariano35,"Rio de Janeiro, Brasil",94,164,"RT @paixaofla9: GOVERNO DO RIO ROMPE COM CONCESSIONÁRIA DO MARACANÃ ������
AGORA VAMOS BRIGAR PARA QUE FIQUE COM O FLAMENGO!!!"
eh cansativa a vida do crente,blckbigirl,"Sao Paulo, Brazil",894,359,"RT @EduardoLaviano: ""Make Brasil great again"" ou seja o cara assumiu que quer a volta do governo Lula??? https://t.co/lidvBkUl8w"
Ricardo Ribeiro,Ribeiro54srf,"João Pessoa, Brasil",693,1006,RT @EstadaoPolitica: Malafaia diz que Eduardo Bolsonaro ajudaria mais o governo 'parando de falar asneira' https://t.co/fNPs3KSUPv
Rogério,RogerioCrow,,73,94,"@ysanikalapalo O que  existe de fato  não é  o mais corrupto,e sim  uma camarilha  que se  completa e que faz  part… https://t.co/A2sNBgoMRw"
Notícias da Guerra do Petróleo,epicurodepedra,,487,1079,"RT @mala_jine: Centenas de presos políticos na Turquia estão em greve de fome. 
Ontem foi confirmada a primeira morte. Zülküf Gezen faleceu…"
Paulo Carrano,P_Carrano,Niterói,819,1617,Sobre a “Turma do Haiti”. “Fantasmas de massacre no Haiti assombram generais do governo Bolsonaro”. https://t.co/r3ZmHk8nxz
Zeitune,zeitune84,,17,57,"RT @HaddadDebochado: Um dos exemplos de Mujica, como Presidente do Uruguai, foi ter vetado a exibição de programas similares ao do Datena d…"
o advento da internet,gpiazentin,,2406,2195,"@A_Rainha_ @ahkjaksja ""desgosto"" é a única definição possível desse governo"
Iara Pinheiro,Dalfolinho2,,1581,1352,"RT @HenriqueFontana: Recado do @xicosa 

""É preciso, pelo código de ética do jornalismo, dizer q a reforma da previdência do Governo Bolson…"
Congresso em Foco,congemfoco,"Brasília, DF",204012,22060,Silas Malafaia pede para Eduardo Bolsonaro ficar de “boca fechada” e parar de “falar asneira”… https://t.co/Xm0mLqQ6Uk
Blog do Noblat,BlogdoNoblat,,1010549,256,"No caso específico de Cristovam, o PT jogou todas as suas fichas para derrotá-lo e eleger Izalci Lucas, que nem do… https://t.co/LOxq62Z4Fh"
Wanderley Oliveira,wanderleybh,"São Paulo, Brasil",3763,35,"#GloboEsgotoDaTV

Para quem não entende a atitude da mídia falida atacando o novo governo...
Um dos muitos motivos… https://t.co/xHBBxyddGu"
nafanínea,NathaneRibs,,43,93,@MascarenhasYago @valoreconomico Todo dia uma notícia absurda do governo Bolsonaro. TODO DIA
Roberto Sá ����,ArobertoSa,"Minas, Brasil y Latinoamérica",4266,4059,"RT @ArobertoSa: @Pecealmeidajr @PedroalvesJoo @gvduarte_ @otempo @RomeuZema

Já houve governo em Minas Gerais que reduziu o próprio salário…"
MiguelReginaldo,MiguelRegiSilva,BraZil,3254,4998,"RT @sputnik_brasil: De acordo com embaixador russo em Caracas, o governo bolivariano demonstra apoio total a Maduro
https://t.co/18yJejt0yS"
Маtheus Schnell,schnellflu,"Rio de Janeiro, Brasil",2026,1246,"Rompeu com o consórcio e não pretende fazer outra licitação? Governo chamando pra si a administração do Maracanã, a… https://t.co/UafxL2STeM"
George T. Pinheiro,georgetpinheiro,"Rio Branco, AC, Brasil",1855,2262,RT @RevistaCrusoe: O ministro da Economia faz uma ofensiva para que a reforma da Previdência não se perca em meio à agenda ideológica do go…
danes,daneswho,São Luís.,464,376,"RT @EduardoLaviano: ""Make Brasil great again"" ou seja o cara assumiu que quer a volta do governo Lula??? https://t.co/lidvBkUl8w"
Bruno,Nobodyisperfetx,"Rio de Janeiro, Brasil",2729,1152,"RT @lelispatricia: Esse (des) governo do Bolsonaro é tão absurdo que pela primeira vez me fez concordar com o pilantra do Malafaia, olha o…"
NETVASCO,Netvasco,Brasil,52619,0,Governo do RJ anuncia rompimento de contrato com o Consórcio Maracanã e gestão compartilhada com os clubes https://t.co/wd7xg5YaBz
Roberto junio,juninho_beto_jp,"Minas Gerais, Brasil",54,100,"RT @W_Almeida92: Enquanto alguns esperam pelo bolsa família e outras esmolas do governo, existem pessoas que não procuram desculpas e culpa…"
